Symbol,Name,IPO date,Market cap,Merger pending?,Leverage factor,Momentum factor 10,Momentum factor 200,Last Close Price,Shares outstanding,Average trading volume,% traded,Action,DB Ptnr?
GOAC,GO Acquisition Corp. Class A,9/25/2020,"$575,575,000 ",N,0,1,1,10.01,"57,500,000","165,698",0.29%,Analyze,
VYGG,Vy Global Growth Class A,11/20/2020,"$577,875,000 ",N,-13.05,1,1.01,10.05,"57,500,000","481,448",0.84%,Analyze,
KVSC,Khosla Ventures Acquisition Co. III Class A,3/24/2021,"$585,076,637 ",N,0,1,1.03,10.13,"57,756,825","240,520",0.42%,Analyze,
MSDA,MSD Acquisition Corp. Class A,5/17/2021,"$587,644,250 ",N,0,1,1.03,10.22,"57,500,000","104,841",0.18%,Analyze,
SLAM,Slam Corp. - Class A,4/15/2021,"$591,675,000 ",N,0,1,1.03,10.29,"57,500,000","9,118",0.02%,Analyze,
AVAN,Avanti Acquisition Corp. Class A,11/23/2020,"$602,400,000 ",N,0,1,1.01,10.04,"60,000,000","7,653,430",12.76%,Analyze,
SMIH,Summit Healthcare Acquisition Corp. Class A,7/30/2021,"$604,878,287 ",N,0,1.21,1.3,13,"20,000,000","108,644",0.54%,Analyze,
PNTM,Pontem Corporation Class A,3/5/2021,"$619,200,000 ",N,0,1,1.03,10.32,"60,000,000","138,135",0.23%,Analyze,
EOCW,Elliott Opportunity II Corp. Class A,8/19/2021,"$622,909,000 ",N,0,1,1.03,10.22,"60,950,000","267,246",0.44%,Analyze,
FVIV,Fortress Value Acquisition Corp. IV Class A,5/6/2021,"$652,600,000 ",N,0,1,1.02,10.04,"65,000,000",574,0.00%,Analyze,
DHHC,DiamondHead Holdings Corp. Class A,3/18/2021,"$652,740,000 ",N,0,1.02,1.04,10.27,"34,500,000","69,471",0.20%,Analyze,
SLCR,Silver Crest Acquisition Corporation - Class A,3/8/2021,"$664,630,817 ",N,0,0.91,0.84,7.99,"34,500,000","275,509",0.80%,Analyze,
AUS,Austerlitz Acquisition Corporation I Class A,4/19/2021,"$688,620,000 ",N,0,1,1.01,9.98,"69,000,000","7,659",0.01%,Analyze,
LGV,Longview Acquisition Corp. II Class A,5/10/2021,"$696,210,000 ",N,0,1,1.02,10.09,"69,000,000",100,0.00%,Analyze,
APGB,Apollo Strategic Growth Capital II Class A,4/5/2021,"$705,180,000 ",N,0,1,1.03,10.23,"69,000,000","449,529",0.65%,Analyze,
BOAC,Bluescape Opportunities Acquisition Corp. Class A,12/18/2020,"$754,818,750 ",N,0,1,1,9.94,"75,937,500","15,342",0.02%,Analyze,
SCRM,Screaming Eagle Acquisition Corp. Class A,2/28/2022,"$760,125,000 ",N,0,1,1.04,10.14,"75,000,000","436,574",0.58%,Analyze,
HERA,FTAC Hera Acquisition Corp. Class A,4/26/2021,"$886,349,797 ",N,0,1,1.03,10.19,"87,067,760","238,561",0.27%,Analyze,
CPUH,Compute Health Acquisition Corp. Class A,3/29/2021,"$1,104,000,000 ",N,0,1,1.02,10.24,"107,812,500","28,021",0.03%,Analyze,
IPOF,Social Capital Hedosophia Holdings Corp. VI Class A,11/30/2020,"$1,153,450,000 ",N,0,1,1,10.03,"115,000,000","952,276",0.83%,Analyze,
ASZ,Austerlitz Acquisition Corporation II Class A,4/19/2021,"$1,377,930,000 ",N,0,1,1.02,9.99,"138,000,000","6,712",0.00%,Analyze,
KAHC,KKR Acquisition Holdings I Corp. Class A,5/7/2021,"$1,381,380,000 ",N,0,1,1.01,10.01,"138,000,000","9,301",0.01%,Analyze,
CVII,Churchill Capital Corp VII Class A,4/5/2021,"$1,396,560,000 ",N,0,1,1.02,10.11,"138,000,000","1,025,171",0.74%,Analyze,
PSTH,"Pershing Square Tontine Holdings, Ltd. Class A",9/11/2020,"$4,028,000,000 ",N,0,1,1.01,20.14,"200,000,000","18,155,855",9.08%,Analyze,
GLAQ,Globis Acquisition Corp.,2/5/2021,$0 ,Y,0,0.95,0.95,9.47,"15,050,833","27,176",0.18%,Analyze,1
GLSPT,Global SPAC Partners Co. Subunit (1 class A share and 1/4 warrant),5/10/2021,$0 ,Y,0,1.32,1.36,14.01,"15,460,635","265,442",1.72%,Analyze,1
ISAA,Iron Spark I Inc.,6/9/2021,$0 ,Y,0,1,1.02,10.08,"17,870,800","22,799",0.13%,Analyze,1
EDNC,Endurance Acquisition Corp. Class A,11/5/2021,$0 ,Y,0,0.86,0.84,8.29,"20,000,000","116,601",0.58%,Analyze,1
ASAX,Astrea Acquisition Corp. Class A,3/14/2021,$0 ,Y,0,0.99,1.01,9.95,"22,037,500","17,944",0.08%,Analyze,1
ASPC,Alpha Capital Acquisition Company - One Class A,4/12/2021,$0 ,Y,0,0.72,0.71,6.95,"23,000,000","395,433",1.72%,Analyze,1
BIOT,Biotech Acquisition Company - Class A,3/18/2021,$0 ,Y,0,1,1.02,10.15,"23,000,000","44,434",0.19%,Analyze,1
BLTS,Bright Lights Acquisition Corp. Class A,3/1/2021,$0 ,Y,0,1,1.01,10.01,"23,000,000","1,200",0.01%,Analyze,1
GACQ,Global Consumer Acquisition Corp.,7/30/2021,$0 ,Y,0,1.02,1.02,10.3,"23,282,362","11,528",0.05%,Analyze,1
RVAC,Riverview Acquisition Corp. Class A,9/28/2021,$0 ,Y,0,1.01,1.01,10.01,"25,000,000","1,102,186",4.41%,Analyze,1
FTCV,FinTech Acquisition Corp. V Class A,1/25/2021,$0 ,Y,0,1,1.01,10.06,"25,640,000","44,120",0.17%,Analyze,1
EJFA,EJF Acquisition Corp. Class A ordinary share,4/19/2021,$0 ,Y,0,0.72,0.67,5.91,"28,750,000","355,622",1.24%,Analyze,1
GIIX,"Gores Holdings VIII, Inc. Class A",4/19/2021,$0 ,Y,0,1,1.02,10.06,"34,500,000","82,744",0.24%,Analyze,1
NAAC,North Atlantic Acquisition Corporation Class A Ordinary Share,3/15/2021,$0 ,Y,0,1,1.02,10.13,"37,950,000",500,0.00%,Analyze,1
BSGA,Blue Safari Group Acquisition Corp. Class A Ordinary Share,7/27/2021,"$22,152,435 ",Y,0,1.01,1.04,10.7,"2,068,388","6,043",0.29%,Analyze,1
CLAQ,CleanTech Acquisition Corp.,8/3/2021,"$128,943,750 ",Y,0,0.62,0.57,5.6,"21,562,500","48,482",0.22%,Analyze,0.5
CHWA,CHW Acquisition Corporation,9/24/2021,"$129,892,500 ",Y,0,0.83,0.8,7.77,"15,687,500","257,523",1.64%,Analyze,0.5
AHPA,Avista Public Acquisition Corp. II Class A,9/30/2021,"$140,875,000 ",Y,0,0.74,0.62,6.13,"23,000,000","65,979",0.29%,Analyze,0.5
DSAC,Duddell Street Acquisition Corp. - Class A,11/30/2020,"$148,925,000 ",Y,0,0.87,0.85,8.43,"17,500,000","409,953",2.34%,Analyze,0.5
TCAC,Tuatara Capital Acquisition Corporation Class A,4/5/2021,"$171,000,000 ",Y,0,0.94,0.93,8.55,"20,000,000","70,881",0.35%,Analyze,0.5
POND,Angel Pond Holdings Corporation Class A,7/9/2021,"$177,894,929 ",Y,0,1.08,1.13,11.23,"26,551,482","176,960",0.67%,Analyze,0.5
DYNS,Dynamics Special Purpose Corp. - Class A,5/26/2021,"$178,103,405 ",Y,0,0.85,0.85,7.51,"23,715,500","92,114",0.39%,Analyze,0.5
QFTA,Quantum FinTech Acquisition Corporation,3/10/2021,"$178,150,000 ",Y,0,1,1.02,10.18,"17,500,000","20,582",0.12%,Analyze,0.5
LNFA,L&F Acquisition Corp. Class A,1/7/2021,"$188,887,500 ",Y,0,1.03,1.07,10.95,"17,250,000","617,901",3.58%,Analyze,0.5
OPA,Magnum Opus Acquisition Limited Class A,5/14/2021,"$204,800,000 ",Y,0,1,1.03,10.26,"20,000,000","206,321",1.03%,Analyze,0.5
OCA,Omnichannel Acquisition Corp. Class A,1/12/2021,"$206,396,750 ",Y,0,1,1,9.99,"20,650,000","64,002",0.31%,Analyze,0.5
AACI,Armada Acquisition Corp. I,11/10/2021,"$208,958,855 ",Y,0,1,1.01,10.09,"20,709,500","1,925",0.01%,Analyze,0.5
VCXA,10X Capital Venture Acquisition Corp. II Class A Ordinary Share,5/25/2007,"$209,441,700 ",Y,-23.53,1,1.02,10.14,"20,655,000","7,149",0.03%,Analyze,0.5
BOAS,BOA Acquisition Corp. Class A,4/5/2021,"$209,990,000 ",Y,0,1.02,0.94,9.21,"23,000,000","105,881",0.46%,Analyze,0.5
FRSG,First Reserve Sustainable Growth Corp. - Class A,4/26/2021,"$225,998,583 ",Y,0,1.01,1.03,10.16,"22,243,955","5,794",0.03%,Analyze,0.5
ACTD,ArcLight Clean Transition Corp. II - Class A,5/19/2021,"$236,483,918 ",Y,0,0.8,0.78,7.6,"31,116,305","883,774",2.84%,Analyze,0.5
DNAC,Social Capital Suvretta Holdings Corp. III - Class A,6/30/2021,"$237,939,200 ",Y,0,1,1,9.28,"25,640,000","338,836",1.32%,Analyze,0.5
ADEX,Adit EdTech Acquisition Corp.,3/3/2021,"$246,960,000 ",Y,0,1,1.03,10.29,"24,000,000","15,787",0.07%,Analyze,0.5
THCP,"Thunder Bridge Capital Partners IV, Inc. Class A",8/20/2021,"$247,382,551 ",Y,0,1,1.02,10.09,"24,300,840","165,516",0.68%,Analyze,0.5
ITHX,ITHAX Acquisition Corp. - Class A,3/19/2021,"$251,477,250 ",Y,0,0.98,1.01,10.13,"24,825,000","1,559,480",6.28%,Analyze,0.5
XPOA,"DPCM Capital, Inc. Class A",12/11/2020,"$259,800,000 ",Y,-11.08,0.95,0.89,8.66,"30,000,000","233,357",0.78%,Analyze,0.5
CPTK,Crown PropTech Acquisitions Class A,3/30/2021,"$275,310,000 ",Y,0,1,1,9.98,"27,600,000","1,728",0.01%,Analyze,0.5
HTPA,Highland Transcend Partners I Corp. Class A,1/25/2021,"$276,375,000 ",Y,0,1,1.01,10.05,"27,500,000","1,101",0.00%,Analyze,0.5
ADER,26 Capital Acquisition Corp. - Class A,3/8/2021,"$284,625,000 ",Y,0,1,1.04,10.35,"27,500,000","5,087",0.02%,Analyze,0.5
BRPM,B. Riley Principal 150 Merger Corp. Class A,4/25/2019,"$287,514,150 ",Y,0,1.28,1.31,13.02,"22,082,500","756,613",3.43%,Analyze,0.5
CND,Concord Acquisition Corp. Class A,1/28/2021,"$288,056,320 ",Y,0,1,1.01,10.16,"28,352,000","92,205",0.33%,Analyze,0.5
HUGS,USHG Acquisition Corp. Class A,4/19/2021,"$288,937,500 ",Y,0,1,1.02,10.05,"28,750,000","54,684",0.19%,Analyze,0.5
SPKB,Silver Spike Acquisition Corp II - Class A,5/3/2021,"$294,400,000 ",Y,0,1,1.03,10.21,"28,750,000","43,441",0.15%,Analyze,0.5
SVFC,SVF Investment Corp. 3 - Class A,8/28/2001,"$300,664,000 ",Y,0,0.98,0.98,9.1,"33,040,000","138,321",0.42%,Analyze,0.5
GSQD,G Squared Ascend I Inc. Class A,3/26/2021,"$331,571,545 ",Y,0,1,1.02,10.17,"32,591,048",500,0.00%,Analyze,0.5
AURC,Aurora Acquisition Corp. Class A,4/26/2021,"$354,453,662 ",Y,0,1,1.03,10.22,"34,750,359","12,660",0.04%,Analyze,0.5
